index,plate from,well from,native_from,plate to,well to,native to,volume,chaser,map,solvent (from),standard (from),volume (from),solvent (to),standard (to),volume (to),"Y, ppm"
33,plate1,B1,B1,ICP1,C3,D3,100,2300,145,0.047111602100987686,0.9528883978990124,18700.0,0.960082856091596,0.039917143908403965,2400.0,0.7983428781680791
34,plate1,B2,B2,ICP1,C4,D4,100,2300,149,0.047111602100987686,0.9528883978990124,18700.0,0.960082856091596,0.039917143908403965,2400.0,0.7983428781680791
35,plate1,A1,A1,ICP1,C5,D5,100,2300,153,0.047111602100987686,0.9528883978990124,18700.0,0.960082856091596,0.039917143908403965,2400.0,0.7983428781680791
36,plate1,A2,A2,ICP1,C6,D6,100,2300,157,0.047111602100987686,0.9528883978990124,18700.0,0.960082856091596,0.039917143908403965,2400.0,0.7983428781680791
37,plate1,B1,B1,ICP1,C7,D7,100,2300,161,0.05220726198280061,0.9477927380171994,18700.0,0.9602963167542079,0.03970368324579218,2400.0,0.7940736649158434
38,plate1,B2,B2,ICP1,C8,D8,100,2300,165,0.05220726198280061,0.9477927380171994,18700.0,0.9602963167542079,0.03970368324579218,2400.0,0.7940736649158434
39,plate1,A1,A1,ICP1,C9,D9,100,2300,169,0.05220726198280061,0.9477927380171994,18700.0,0.9602963167542079,0.03970368324579218,2400.0,0.7940736649158434
40,plate1,A2,A2,ICP1,C10,D10,100,2300,173,0.05220726198280061,0.9477927380171994,18700.0,0.9602963167542079,0.03970368324579218,2400.0,0.7940736649158434
41,plate1,B1,B1,ICP1,C11,D11,100,2300,177,0.05727567234652897,0.942724327653471,18700.0,0.96050863591595,0.039491364084049976,2400.0,0.7898272816809994
42,plate1,B2,B2,ICP1,C12,D12,100,2300,181,0.05727567234652897,0.942724327653471,18700.0,0.96050863591595,0.039491364084049976,2400.0,0.7898272816809994
43,plate1,A1,A1,ICP1,C13,D13,100,2300,185,0.05727567234652897,0.942724327653471,18700.0,0.96050863591595,0.039491364084049976,2400.0,0.7898272816809994
44,plate1,A2,A2,ICP1,C14,D14,100,2300,189,0.05727567234652897,0.942724327653471,18700.0,0.96050863591595,0.039491364084049976,2400.0,0.7898272816809994
45,plate1,B1,B1,ICP1,C15,D15,100,2300,193,0.06231697891152081,0.9376830210884792,18700.0,0.9607198196811054,0.039280180318894624,2400.0,0.7856036063778924
46,plate1,B2,B2,ICP1,D1,C1,100,2300,197,0.06231697891152081,0.9376830210884792,18700.0,0.9607198196811054,0.039280180318894624,2400.0,0.7856036063778924
47,plate1,A1,A1,ICP1,D2,C2,100,2300,201,0.06231697891152081,0.9376830210884792,18700.0,0.9607198196811054,0.039280180318894624,2400.0,0.7856036063778924
48,plate1,A2,A2,ICP1,D3,C3,100,2300,205,0.06231697891152081,0.9376830210884792,18700.0,0.9607198196811054,0.039280180318894624,2400.0,0.7856036063778924
49,plate1,B1,B1,ICP1,D4,C4,100,2300,209,0.06733132661787633,0.9326686733821237,18700.0,0.9609298741213134,0.039070125878686635,2400.0,0.7814025175737325
50,plate1,B2,B2,ICP1,D5,C5,100,2300,213,0.06733132661787633,0.9326686733821237,18700.0,0.9609298741213134,0.039070125878686635,2400.0,0.7814025175737325
51,plate1,A1,A1,ICP1,D6,C6,100,2300,217,0.06733132661787633,0.9326686733821237,18700.0,0.9609298741213134,0.039070125878686635,2400.0,0.7814025175737325
52,plate1,A2,A2,ICP1,D7,C7,100,2300,221,0.06733132661787633,0.9326686733821237,18700.0,0.9609298741213134,0.039070125878686635,2400.0,0.7814025175737325
53,plate1,B1,B1,ICP1,D8,C8,100,2300,225,0.07231885963061498,0.927681140369385,18700.0,0.9611388052757449,0.03886119472425515,2400.0,0.7772238944851029
54,plate1,B2,B2,ICP1,D9,C9,100,2300,229,0.07231885963061498,0.927681140369385,18700.0,0.9611388052757449,0.03886119472425515,2400.0,0.7772238944851029
55,plate1,A1,A1,ICP1,D10,C10,100,2300,233,0.07231885963061498,0.927681140369385,18700.0,0.9611388052757449,0.03886119472425515,2400.0,0.7772238944851029
56,plate1,A2,A2,ICP1,D11,C11,100,2300,237,0.07231885963061498,0.927681140369385,18700.0,0.9611388052757449,0.03886119472425515,2400.0,0.7772238944851029
57,plate1,B1,B1,ICP1,D12,C12,100,2300,241,0.07727972134382026,0.9227202786561797,18700.0,0.9613466191512756,0.03865338084872437,2400.0,0.7730676169744873
58,plate1,B2,B2,ICP1,D13,C13,100,2300,245,0.07727972134382026,0.9227202786561797,18700.0,0.9613466191512756,0.03865338084872437,2400.0,0.7730676169744873
59,plate1,A1,A1,ICP1,D14,C14,100,2300,249,0.07727972134382026,0.9227202786561797,18700.0,0.9613466191512756,0.03865338084872437,2400.0,0.7730676169744873
60,plate1,A2,A2,ICP1,D15,C15,100,2300,253,0.07727972134382026,0.9227202786561797,18700.0,0.9613466191512756,0.03865338084872437,2400.0,0.7730676169744873
61,plate1,B1,B1,ICP1,E1,B1,100,2300,257,0.08221405438476241,0.9177859456152375,18700.0,0.9615533217226592,0.038446678277340815,2400.0,0.7689335655468162
62,plate1,B2,B2,ICP1,E2,B2,100,2300,261,0.08221405438476241,0.9177859456152375,18700.0,0.9615533217226592,0.038446678277340815,2400.0,0.7689335655468162
63,plate1,A1,A1,ICP1,E3,B3,100,2300,265,0.08221405438476241,0.9177859456152375,18700.0,0.9615533217226592,0.038446678277340815,2400.0,0.7689335655468162
64,plate1,A2,A2,ICP1,E4,B4,100,2300,269,0.08221405438476241,0.9177859456152375,18700.0,0.9615533217226592,0.038446678277340815,2400.0,0.7689335655468162
65,plate1,B1,B1,ICP1,E5,B5,100,2300,273,0.08712200061799899,0.912877999382001,18700.0,0.9617589189326985,0.03824108106730156,2400.0,0.7648216213460312
66,plate1,B2,B2,ICP1,E6,B6,100,2300,277,0.08712200061799899,0.912877999382001,18700.0,0.9617589189326985,0.03824108106730156,2400.0,0.7648216213460312
67,plate1,A1,A1,ICP1,E7,B7,100,2300,281,0.08712200061799899,0.912877999382001,18700.0,0.9617589189326985,0.03824108106730156,2400.0,0.7648216213460312
68,plate1,A2,A2,ICP1,E8,B8,100,2300,285,0.08712200061799899,0.912877999382001,18700.0,0.9617589189326985,0.03824108106730156,2400.0,0.7648216213460312
69,plate1,B1,B1,ICP1,E9,B9,100,2300,289,0.09200370114945355,0.9079962988505464,18700.0,0.9619634166924167,0.038036583307583374,2400.0,0.7607316661516674
